,ell,TT,TE,EE,BB,KK
54,54,3.1840022000000002e-12,-5.742043999999999e-16,3.2208703e-16,1.9729288999999998e-18,2.0690705999999998e-19
55,55,3.113607e-12,-1.0508334000000001e-15,3.2885003e-16,1.9737369999999998e-18,2.0599278e-19
56,56,3.0464918999999998e-12,-1.5198593e-15,3.3553567e-16,1.9745118999999997e-18,2.0505912e-19
57,57,2.982244e-12,-1.9791461999999997e-15,3.421316e-16,1.9752545e-18,2.0410818999999998e-19
58,58,2.9206661999999997e-12,-2.4270590000000002e-15,3.4861144e-16,1.975966e-18,2.0314167e-19
59,59,2.8616402e-12,-2.8634202e-15,3.5495707e-16,1.9766478e-18,2.0216119999999998e-19
60,60,2.8053016999999995e-12,-3.2926881999999998e-15,3.6117193e-16,1.9773017e-18,2.0116839e-19
61,61,2.7517557e-12,-3.7188083000000005e-15,3.6726443999999997e-16,1.9779288e-18,2.0016472e-19
62,62,2.7007637e-12,-4.1409632999999995e-15,3.7323256000000003e-16,1.9785311e-18,1.9915173000000001e-19
63,63,2.6520507e-12,-4.5574335e-15,3.7907364e-16,1.9791097999999998e-18,1.9813061999999999e-19
64,64,2.6053459999999997e-12,-4.9667107e-15,3.8478459999999997e-16,1.9796669e-18,1.9710248e-19
65,65,2.5604372e-12,-5.3675734e-15,3.9036633e-16,1.9802039999999997e-18,1.960682e-19
66,66,2.5171752e-12,-5.7592806e-15,3.958115e-16,1.9807226e-18,1.950285e-19
67,67,2.4754434e-12,-6.1412740000000006e-15,4.0111821999999997e-16,1.9812246e-18,1.9398398e-19
68,68,2.4351592000000002e-12,-6.5133316e-15,4.0628114999999996e-16,1.9817119e-18,1.9293499e-19
69,69,2.3963315000000002e-12,-6.8762545e-15,4.1129589999999995e-16,1.9821857e-18,1.9188166999999998e-19
70,70,2.3590065999999997e-12,-7.231246699999999e-15,4.1615905e-16,1.9826482e-18,1.9082424e-19
71,71,2.3231947000000002e-12,-7.579447e-15,4.2087055e-16,1.9831007e-18,1.8976286e-19
72,72,2.2889197e-12,-7.921858999999999e-15,4.2542996e-16,1.983545e-18,1.8869771e-19
73,73,2.2561643e-12,-8.259136e-15,4.298354e-16,1.9839824e-18,1.8762917e-19
74,74,2.2247925e-12,-8.590660999999999e-15,4.3407883e-16,1.984415e-18,1.865577e-19
75,75,2.194654e-12,-8.915381e-15,4.3815354e-16,1.9848435e-18,1.8548384e-19
76,76,2.1655278e-12,-9.231981e-15,4.4205535000000003e-16,1.9852698e-18,1.844085e-19
77,77,2.1372442e-12,-9.539313e-15,4.4578494e-16,1.9856955e-18,1.8333253e-19
78,78,2.109792e-12,-9.83765e-15,4.4934172e-16,1.9861213e-18,1.8225676e-19
79,79,2.0832187999999998e-12,-1.0127547e-14,4.527262e-16,1.9865488e-18,1.8118178999999998e-19
80,80,2.0575445e-12,-1.0409671000000001e-14,4.5593918e-16,1.9869792000000002e-18,1.801085e-19
81,81,2.032771e-12,-1.0684281e-14,4.5898173e-16,1.9874135e-18,1.7903765999999999e-19
82,82,2.0088332000000003e-12,-1.0951021999999999e-14,4.618557000000001e-16,1.987853e-18,1.7796971999999997e-19
83,83,1.9856603e-12,-1.1209887e-14,4.6455892e-16,1.9882983999999996e-18,1.7690502e-19
84,84,1.963216e-12,-1.1460697e-14,4.670896e-16,1.9887510000000002e-18,1.7584393999999998e-19
85,85,1.9414597e-12,-1.1703623e-14,4.694457999999999e-16,1.9892113e-18,1.7478675e-19
86,86,1.9203593e-12,-1.1938518999999999e-14,4.7162795e-16,1.9896806000000002e-18,1.737335e-19
87,87,1.8998725e-12,-1.2165448999999999e-14,4.736342e-16,1.9901595e-18,1.7268427999999999e-19
88,88,1.879972e-12,-1.2384482000000001e-14,4.754637200000001e-16,1.9906488e-18,1.7163907e-19
89,89,1.860655e-12,-1.2595752999999999e-14,4.7711615e-16,1.9911492e-18,1.7059791e-19
90,90,1.8419089e-12,-1.279948e-14,4.7858813e-16,1.9916615e-18,1.6956076e-19
91,91,1.8237146e-12,-1.2995579999999999e-14,4.798809e-16,1.9921863e-18,1.685276e-19
92,92,1.8060446e-12,-1.31841805e-14,4.8099447e-16,1.9927239999999996e-18,1.6749851e-19
93,93,1.7888842e-12,-1.3365191e-14,4.8192905e-16,1.9932756e-18,1.6647359999999998e-19
94,94,1.772203e-12,-1.3538751999999999e-14,4.8268668e-16,1.9938418e-18,1.654529e-19
95,95,1.7559884e-12,-1.3704794e-14,4.8326742e-16,1.9944227000000002e-18,1.6443654e-19
96,96,1.7402126e-12,-1.3863316e-14,4.8367254e-16,1.9950191e-18,1.634247e-19
97,97,1.7248547999999998e-12,-1.4014321999999998e-14,4.8390296e-16,1.9956316999999997e-18,1.6241756e-19
98,98,1.7099009e-12,-1.4157842e-14,4.839592099999999e-16,1.9962608e-18,1.6141531e-19
99,99,1.6953212e-12,-1.4293898e-14,4.838427e-16,1.9969075e-18,1.6041818e-19
100,100,1.6811119e-12,-1.4422532999999998e-14,4.835563e-16,1.9975719e-18,1.5942642e-19
