L,TT,TE,EE,BB,PP
21,1.2491869988574043e-11,1.8548588625331216e-14,8.351686070125012e-17,1.9214035069227963e-18,1.7987997936236104e-21
22,1.1577638143837088e-11,1.7878890713115383e-14,9.003059503452318e-17,1.9228409644309608e-18,1.6563271180910488e-21
23,1.0774148918396587e-11,1.7264417541325302e-14,9.68656596598645e-17,1.9243051783982957e-18,1.5295686145075695e-21
24,1.0064730856281132e-11,1.665159298133222e-14,1.0357883338763108e-16,1.925796296650543e-18,1.4162404402137909e-21
25,9.434666727798987e-12,1.6020285909910463e-14,1.1042649845173452e-16,1.9273139275632004e-18,1.3145293642123764e-21
26,8.8708194065928e-12,1.5374918645042765e-14,1.1733445792868956e-16,1.9288394348335076e-18,1.222920880449955e-21
27,8.366027992142914e-12,1.4714870923564192e-14,1.2417435851522324e-16,1.9303840192557853e-18,1.1401404894111336e-21
28,7.911010052341372e-12,1.4048877354510078e-14,1.3105471008880357e-16,1.9319324616118648e-18,1.0650772886963387e-21
29,7.499667759066171e-12,1.3384051350541785e-14,1.3804663663518957e-16,1.9334950041648573e-18,9.967659615413852e-22
30,7.125875310797339e-12,1.2720072190421897e-14,1.452463003509681e-16,1.9350521717804742e-18,9.343974846496402e-22
31,6.7841299905917165e-12,1.2076256824974539e-14,1.526427664419097e-16,1.9366081891095712e-18,8.773340855080447e-22
32,6.472335364864471e-12,1.146377869269871e-14,1.6012424055987202e-16,1.9381603677379666e-18,8.250369707046741e-22
33,6.187033532024262e-12,1.0862630598444452e-14,1.6755944817312235e-16,1.9397010641351485e-18,7.769925830533515e-22
34,5.924410146151979e-12,1.0258910410204868e-14,1.7492493494941032e-16,1.941229700560531e-18,7.327461265208139e-22
35,5.6818445800424544e-12,9.659051012937075e-15,1.8229864303980657e-16,1.9427459370149113e-18,6.919183286606319e-22
36,5.4568898340124326e-12,9.066089213954112e-15,1.8978144233455963e-16,1.9442401814486453e-18,6.541682720718205e-22
37,5.24793444781883e-12,8.475909727288979e-15,1.9736486069416378e-16,1.9457139046975558e-18,6.192021025339996e-22
38,5.0547420259681926e-12,7.892647389710972e-15,2.0502940945893614e-16,1.947164214294393e-18,5.8676132263363045e-22
39,4.875711521542467e-12,7.317695657275149e-15,2.126785728188284e-16,1.948588954120626e-18,5.566056368754377e-22
40,4.708404521409405e-12,6.750822867298086e-15,2.2023637240619334e-16,1.9499827288726317e-18,5.285308206503979e-22
41,4.552207891543119e-12,6.190725425830033e-15,2.2767753198113516e-16,1.951344997882176e-18,5.023483277301142e-22
42,4.40532700075475e-12,5.63527965947413e-15,2.3505236197323765e-16,1.9526755268184667e-18,4.778978220018919e-22
43,4.267451788283251e-12,5.0823397431858555e-15,2.424180414932609e-16,1.9539710028588478e-18,4.550361173229673e-22
44,4.137318858482121e-12,4.533127799575307e-15,2.4977533858327355e-16,1.9552320678169056e-18,4.336286393209474e-22
45,4.015471421675303e-12,3.9886995886273185e-15,2.5715620491780036e-16,1.9564533843812265e-18,4.135610781316929e-22
46,3.900980406025513e-12,3.4447374544186104e-15,2.6457993463652185e-16,1.9576394332882707e-18,3.9473050932579103e-22
47,3.792804705240826e-12,2.9050541216133915e-15,2.7199814501384838e-16,1.958783019513236e-18,3.770384651285687e-22
48,3.69032951326146e-12,2.3816478021000013e-15,2.793720038495862e-16,1.9598863169332466e-18,3.6039891437342295e-22
49,3.5933408543488477e-12,1.8831065404777627e-15,2.8661326805921767e-16,1.9609513595855707e-18,3.4473401443334463e-22
50,3.5020010907980903e-12,1.399851798537564e-15,2.9362926536704977e-16,1.961975124048707e-18,3.2996825239069074e-22
51,3.415356628795148e-12,9.20353970888988e-16,3.003419438237337e-16,1.9629575943666486e-18,3.160404301907669e-22
52,3.3335991363803102e-12,4.347868480107133e-16,3.0697099131197736e-16,1.9638989367227105e-18,3.0289011261101533e-22
53,3.255489108424341e-12,-6.115392206890371e-17,3.1385191178001174e-16,1.964799465821526e-18,2.904601090378739e-22
54,3.1806457178222963e-12,-5.54272143870621e-16,3.209459517109767e-16,1.9656617323167018e-18,2.787026371608884e-22
55,3.1093403290097576e-12,-1.0329781044478496e-15,3.2818015257204594e-16,1.96648400150499e-18,2.6757189430051817e-22
56,3.041734887100689e-12,-1.499807355955885e-15,3.3525872128243104e-16,1.9672668944110883e-18,2.5702400949237693e-22
57,2.9774620174349144e-12,-1.955237562105328e-15,3.4196986747632923e-16,1.9680091910418814e-18,2.470226891411575e-22
58,2.916319712228641e-12,-2.4015648902333756e-15,3.4834772544655498e-16,1.9687191554833714e-18,2.3753084466645075e-22
59,2.85783761543759e-12,-2.8408517161749603e-15,3.544745961689446e-16,1.9694058624690182e-18,2.285127049599274e-22
60,2.8018886348508046e-12,-3.2724408459704565e-15,3.6044883055646306e-16,1.9700361013953567e-18,2.199423866626323e-22
61,2.7488188116216813e-12,-3.695449955997918e-15,3.66421677678719e-16,1.9706474742650135e-18,2.1179085915649604e-22
62,2.697490810372655e-12,-4.1115131381819595e-15,3.723663980625874e-16,1.9712247237524528e-18,2.0402979385733159e-22
63,2.6481631407759677e-12,-4.522070175432844e-15,3.78217523896239e-16,1.971770139143701e-18,1.9664094850125753e-22
64,2.6011783019290105e-12,-4.928751070589852e-15,3.839947555147636e-16,1.972300930210173e-18,1.8959964778739435e-22
65,2.555850392540765e-12,-5.332139531138313e-15,3.89667334942113e-16,1.9727883713780157e-18,1.8288609540967715e-22
66,2.5125210500059806e-12,-5.729264692039177e-15,3.9513875360565026e-16,1.9732640423667232e-18,1.7648333655892077e-22
67,2.4708253863145497e-12,-6.1165347118065435e-15,4.004234278149473e-16,1.9737145487759296e-18,1.7037278965400766e-22
68,2.4310650977209915e-12,-6.4922900355930755e-15,4.055841646112735e-16,1.9741414705550182e-18,1.645372326316813e-22
69,2.392774856825448e-12,-6.8549681787981615e-15,4.1057038599479725e-16,1.9745592782736547e-18,1.5896198653859707e-22
70,2.3560427835048474e-12,-7.207534154100596e-15,4.1543991415456847e-16,1.9749555845116453e-18,1.5363209820611362e-22
71,2.3205873152414466e-12,-7.553490017405769e-15,4.2018433010231375e-16,1.9753439817254693e-18,1.4853489397535967e-22
72,2.2863932744225166e-12,-7.89442306451898e-15,4.2477488614359524e-16,1.9757246675675264e-18,1.4365733347305656e-22
73,2.253362869865105e-12,-8.230786652877462e-15,4.291792416347442e-16,1.9760862046710027e-18,1.3898610608961819e-22
74,2.2214965824719437e-12,-8.56135508901683e-15,4.333937445909543e-16,1.9764410344373324e-18,1.345122424248378e-22
75,2.190869554688697e-12,-8.88434686242711e-15,4.3743866802547815e-16,1.9767893058277587e-18,1.302228735875382e-22
76,2.1613856825821833e-12,-9.199154488375203e-15,4.413239785188795e-16,1.97714190289797e-18,1.2610928404900518e-22
77,2.1330294735876912e-12,-9.505844232739633e-15,4.450495438959558e-16,1.9774876834659027e-18,1.2216328355987163e-22
78,2.1057745811384278e-12,-9.806184235379981e-15,4.486481855294518e-16,1.9778370185788985e-18,1.1837512961393907e-22
79,2.0793963172137147e-12,-1.009654193419679e-14,4.520702119771194e-16,1.978179371624482e-18,1.147377240983538e-22
80,2.0539422488414157e-12,-1.0378891285192945e-14,4.553282826518161e-16,1.9785343288816383e-18,1.1124437764003187e-22
81,2.0292834425477917e-12,-1.0653887064897417e-14,4.583840041602299e-16,1.9788911990498307e-18,1.0788688917693727e-22
82,2.00544024017621e-12,-1.09210733980125e-14,4.612675955843335e-16,1.9792587627575187e-18,1.0466036366289195e-22
83,1.982321533144651e-12,-1.1180501084040646e-14,4.639670933563646e-16,1.979635949063269e-18,1.015574348036969e-22
84,1.959957816766049e-12,-1.1431085269150156e-14,4.664895491445126e-16,1.980021769847799e-18,9.85729694935184e-23
