L,TT,TE,EE,BB,PP
656,2.6738292524914796e-14,-3.6372737419380987e-16,5.072111660746868e-16,1.1742354198468129e-18,1.8678171936520002e-25
657,2.6610075926209413e-14,-3.8587349773763124e-16,5.082522031106374e-16,1.1713872073527867e-18,1.8578087713446573e-25
658,2.6483528552022733e-14,-4.0805595212545896e-16,5.092208258152988e-16,1.1685523160070766e-18,1.8478814632421745e-25
659,2.6362970825351013e-14,-4.302524324259019e-16,5.101075658719572e-16,1.1657321086091157e-18,1.838005777815499e-25
660,2.6245181592553098e-14,-4.52452424571534e-16,5.109016313109254e-16,1.1629264908594382e-18,1.8282101877842624e-25
661,2.6129850237089722e-14,-4.746354899559e-16,5.11616772912331e-16,1.1601339333079488e-18,1.8184797437457636e-25
662,2.6018387681977064e-14,-4.968215200650423e-16,5.122622834000706e-16,1.1573586507846834e-18,1.8088139900526814e-25
663,2.5909476020344868e-14,-5.189902043547539e-16,5.128287915153659e-16,1.1545976707620231e-18,1.7992124747716502e-25
664,2.5804232112507197e-14,-5.4110724702112705e-16,5.132970799671552e-16,1.1518523248575591e-18,1.7896747496480456e-25
665,2.5701489448287155e-14,-5.6318699976160045e-16,5.136864687633593e-16,1.149122509627431e-18,1.78020037007116e-25
666,2.5602217046475915e-14,-5.852054540697644e-16,5.140004901701748e-16,1.1464081224461508e-18,1.7707888950397509e-25
667,2.5506667158579404e-14,-6.071656835769272e-16,5.142285343780918e-16,1.1437104716888071e-18,1.7614398871279654e-25
668,2.5412417575868025e-14,-6.290566670655033e-16,5.1438261605895555e-16,1.14103084967047e-18,1.7521529124516312e-25
669,2.5323803441726974e-14,-6.508577040339216e-16,5.144507785176363e-16,1.1383663274963423e-18,1.7429275406349153e-25
670,2.5236582825871944e-14,-6.725483426307447e-16,5.144351855758165e-16,1.1357196011056987e-18,1.7337773207661906e-25
671,2.5153810031909333e-14,-6.941515734929789e-16,5.143574857330446e-16,1.1330891536233571e-18,1.7246738358148032e-25
672,2.5072390106844034e-14,-7.156456593471834e-16,5.141779432449448e-16,1.1304776536283115e-18,1.7156306835029272e-25
673,2.4995359489050955e-14,-7.37002197362269e-16,5.139362506738535e-16,1.1278821968910173e-18,1.7066612989190733e-25
674,2.492060862883203e-14,-7.582317942173458e-16,5.136039603289157e-16,1.125305437389113e-18,1.6977375241812932e-25
675,2.484921989302948e-14,-7.793256568875509e-16,5.131928953952841e-16,1.1227458663134962e-18,1.688886612121156e-25
676,2.4780066130235594e-14,-8.002545058167955e-16,5.127010125439935e-16,1.1202061109472585e-18,1.6800805756240279e-25
677,2.471422358933736e-14,-8.210291076450685e-16,5.12131770086771e-16,1.1176832916525595e-18,1.6713328219356583e-25
678,2.4651663911938367e-14,-8.416409987598175e-16,5.114749393382087e-16,1.1151800215461521e-18,1.6626565991674474e-25
679,2.459127032996439e-14,-8.6207229337833e-16,5.107517128568149e-16,1.1126948000973942e-18,1.6540241734091008e-25
680,2.453505980697424e-14,-8.823229587715463e-16,5.099518295372269e-16,1.1102288575464785e-18,1.6454624076997278e-25
681,2.448096705297778e-14,-9.02365910339241e-16,5.090665032005134e-16,1.1077820563902328e-18,1.6369437349953922e-25
682,2.4428974187897083e-14,-9.222215963375795e-16,5.080964947474054e-16,1.1053542602394064e-18,1.6284948647086647e-25
683,2.438121539113694e-14,-9.418833323878098e-16,5.070734920048226e-16,1.1029466787487415e-18,1.6200883951354932e-25
684,2.4334435809039344e-14,-9.613217197411902e-16,5.059470130596886e-16,1.1005578249316009e-18,1.6117374732131733e-25
685,2.4289697170031203e-14,-9.805397979398848e-16,5.047580891331533e-16,1.0981875657300596e-18,1.6034550914791684e-25
686,2.424818213509552e-14,-9.99419254581536e-16,5.03487281766834e-16,1.0958384355815602e-18,1.5952140934189124e-25
687,2.4210527827216454e-14,-1.0181116844095285e-15,5.021552601896054e-16,1.0935089509739245e-18,1.5870275166244264e-25
688,2.4173917649823336e-14,-1.0365893166452466e-15,5.007334130617923e-16,1.0911989705622391e-18,1.5788949914898677e-25
689,2.41403254513554e-14,-1.0547559821870606e-15,4.992410411772055e-16,1.088909675779567e-18,1.5708161513210124e-25
690,2.410867123937099e-14,-1.072712984388907e-15,4.976906350879798e-16,1.0866409160803397e-18,1.5627906323086207e-25
691,2.4079858432792014e-14,-1.0903633631075953e-15,4.960419826729357e-16,1.0843912281391881e-18,1.554818073502085e-25
692,2.4053076701420534e-14,-1.1077108586304316e-15,4.943457418851561e-16,1.0821630956361835e-18,1.5468981167833535e-25
693,2.4029223348128073e-14,-1.124854545393272e-15,4.925722967588114e-16,1.0799537474129633e-18,1.5390304068411243e-25
694,2.4006189147436047e-14,-1.1416031714154335e-15,4.907236375803051e-16,1.0777656543672845e-18,1.53121459114531e-25
695,2.3986954873086344e-14,-1.1580560505818928e-15,4.888277122790459e-16,1.0755986606693261e-18,1.5234503199217683e-25
696,2.3969674814747735e-14,-1.1744098020789845e-15,4.868473897139628e-16,1.073451316549038e-18,1.5157242940970298e-25
697,2.3954203262030644e-14,-1.1902789190351668e-15,4.848027911227585e-16,1.0713247713159029e-18,1.5080621105064545e-25
698,2.3940524903784093e-14,-1.205861817577217e-15,4.826841902113969e-16,1.0692188728457754e-18,1.50043756022748e-25
699,2.3928752971205248e-14,-1.221064447624454e-15,4.805127922318985e-16,1.0671321861258142e-18,1.4928632558174327e-25
700,2.3919639586162416e-14,-1.2359846269913484e-15,4.782685877340908e-16,1.0650671333755046e-18,1.4853516649754356e-25
701,2.3912268405720915e-14,-1.2506258612322602e-15,4.759624399147286e-16,1.063022278325767e-18,1.4778768079288902e-25
702,2.390675198852765e-14,-1.2648006469221395e-15,4.736050901199013e-16,1.0609987468719951e-18,1.4704511942158888e-25
703,2.3902947660698426e-14,-1.2788873010125752e-15,4.711766897913357e-16,1.0589938429573976e-18,1.4630617992087276e-25
704,2.390084091794778e-14,-1.2924255947680348e-15,4.686968614296648e-16,1.05700996442112e-18,1.4557337235208892e-25
705,2.389965995813931e-14,-1.3056043244229778e-15,4.661483982190485e-16,1.0550469567457997e-18,1.4484539114200327e-25
706,2.3900907506471006e-14,-1.3185144945030042e-15,4.63549535602748e-16,1.0531034078598686e-18,1.4412094534306828e-25
707,2.3903056707041366e-14,-1.3310703560812984e-15,4.608919445533281e-16,1.0511804316294925e-18,1.4340252420271006e-25
708,2.3908728485341265e-14,-1.3430869981705689e-15,4.581861667340797e-16,1.0492766254866427e-18,1.4268758199499911e-25
709,2.3914148524175258e-14,-1.354943280231178e-15,4.554226556379591e-16,1.0473943466997725e-18,1.4197734605793988e-25
710,2.392218160633312e-14,-1.3663665867386952e-15,4.526006859621709e-16,1.0455297022412244e-18,1.4127178517372821e-25
711,2.39308197801006e-14,-1.3773480141680751e-15,4.497331947606238e-16,1.0436862893178522e-18,1.405696271966077e-25
712,2.394117177565681e-14,-1.3880891756835436e-15,4.46818123085359e-16,1.0418627136158252e-18,1.3987332720089579e-25
713,2.395408704242805e-14,-1.3983080905962325e-15,4.43846030818611e-16,1.0400575959434098e-18,1.3918037579801045e-25
714,2.3965728573086196e-14,-1.408205937771183e-15,4.408383537435502e-16,1.0382720336068018e-18,1.384919838378059e-25
715,2.3979911608248408e-14,-1.417760741384063e-15,4.377757876348569e-16,1.0365046565622167e-18,1.3780812123413788e-25
716,2.3995758010571716e-14,-1.426901822115034e-15,4.346686182065875e-16,1.03475778131001e-18,1.3712875812997497e-25
717,2.40121552685831e-14,-1.4355470911964178e-15,4.3152457685670915e-16,1.0330288161330888e-18,1.3645386489537653e-25
718,2.402934202141191e-14,-1.4439683420639664e-15,4.2833670478696543e-16,1.0313176318762258e-18,1.357834121254908e-25
719,2.4047918359850102e-14,-1.451791088159261e-15,4.2508719789446036e-16,1.0296265278439398e-18,1.3511615691864864e-25
720,2.4066299062329853e-14,-1.4593954222501266e-15,4.218117061773785e-16,1.0279529360047047e-18,1.3445329076771297e-25
721,2.408798584161969e-14,-1.4664330391201752e-15,4.1851048302992173e-16,1.0262967303195025e-18,1.3379478488932153e-25
722,2.4108497502536772e-14,-1.4730650304081795e-15,4.1515729908658626e-16,1.0246589894028754e-18,1.3314061071770357e-25
723,2.4130484275303547e-14,-1.4794027072674795e-15,4.117802305405625e-16,1.0230383788794408e-18,1.3248953956629472e-25
724,2.4153215502510485e-14,-1.4853526675785736e-15,4.083603609836326e-16,1.0214359727262387e-18,1.3184394728304082e-25
725,2.4176446035485403e-14,-1.4908225451563487e-15,4.0491718228109514e-16,1.019850445240071e-18,1.3120140855453615e-25
726,2.4201123849911028e-14,-1.4958281389669547e-15,4.014580683440761e-16,1.0182816753356893e-18,1.305630959621654e-25
727,2.4225574711828934e-14,-1.5005512894923783e-15,3.979487615187636e-16,1.016729542875755e-18,1.2992779478620091e-25
728,2.4250628951499558e-14,-1.5048048381867265e-15,3.9439918535213874e-16,1.0151939286624024e-18,1.292978552901945e-25
729,2.427628133398018e-14,-1.5086988520723246e-15,3.908356851880121e-16,1.0136747144288823e-18,1.286708792231314e-25
730,2.4301584714216147e-14,-1.512130264555101e-15,3.872478182435371e-16,1.0121706053890005e-18,1.2804802678655383e-25
731,2.4329242383286748e-14,-1.5151145660385301e-15,3.8362055927595216e-16,1.0106826689899187e-18,1.2742927121051015e-25
732,2.4355838825204972e-14,-1.5176553779955523e-15,3.799975986411638e-16,1.0092107896694508e-18,1.2681458592499315e-25
733,2.4383718067524407e-14,-1.5199314669835495e-15,3.763333962623502e-16,1.0077536849336769e-18,1.2620277672765596e-25
734,2.4411471759268253e-14,-1.5215955699130635e-15,3.726562807668106e-16,1.0063124151962013e-18,1.2559499162930535e-25
735,2.4439681358710574e-14,-1.5230824011037295e-15,3.689489757461199e-16,1.0048845445527512e-18,1.2499120461060277e-25
736,2.4466721176818362e-14,-1.5239648010056235e-15,3.652291426907445e-16,1.0034722965341667e-18,1.2439138984562145e-25
737,2.4495257365713712e-14,-1.5245942263656593e-15,3.615038555325476e-16,1.002073249484712e-18,1.2379436650327187e-25
738,2.4522627716542264e-14,-1.5246155795318232e-15,3.5776628705424145e-16,1.000688463831991e-18,1.2320127058914262e-25
739,2.4550564804195086e-14,-1.5243210231202057e-15,3.540073860523199e-16,9.993178392930226e-19,1.2261207680959967e-25
740,2.4578147055636877e-14,-1.523690197754857e-15,3.502353871467829e-16,9.97960130499675e-19,1.2202561420240646e-25
741,2.4606405525748877e-14,-1.522634404432553e-15,3.4644243789987854e-16,9.96615247969064e-19,1.2144415264659999e-25
742,2.4634308731658287e-14,-1.5211000972382502e-15,3.426709171149391e-16,9.952831029006532e-19,1.2086537875729673e-25
743,2.466197289442124e-14,-1.519238908175657e-15,3.3889455072035247e-16,9.939647437977118e-19,1.2028927717094593e-25
744,2.4690193140401445e-14,-1.5168834500521923e-15,3.350975485026818e-16,9.926578069005143e-19,1.1971809978287928e-25
745,2.4717381946666817e-14,-1.514309047187644e-15,3.31297075257235e-16,9.913622145742383e-19,1.1914955213384512e-25
746,2.474332179200928e-14,-1.511077754598198e-15,3.2750109231647077e-16,9.900801447897186e-19,1.1858474676136282e-25
747,2.476914689823716e-14,-1.5076221773347834e-15,3.2369273704147913e-16,9.888081295035331e-19,1.1802253525695306e-25
748,2.4795418653039278e-14,-1.503787137697137e-15,3.1989682203553395e-16,9.875472233952921e-19,1.1746514587613966e-25
749,2.482146210615705e-14,-1.4996428184163956e-15,3.160808518935115e-16,9.862984696799076e-19,1.169103090427484e-25
750,2.4846497935363302e-14,-1.4950244027842132e-15,3.1228518611955423e-16,9.850584381293749e-19,1.163580103011608e-25
751,2.4871201437445044e-14,-1.4900358476025845e-15,3.084863395647707e-16,9.838304100884966e-19,1.158104604083831e-25
752,2.4895796915458063e-14,-1.4845913830036107e-15,3.0470767942495723e-16,9.826120838479613e-19,1.1526540817400883e-25
753,2.4919178309646708e-14,-1.4788496217940309e-15,3.0091699212024356e-16,9.814022885243768e-19,1.1472283950917443e-25
754,2.4941575754478793e-14,-1.4726694995012043e-15,2.971464211330643e-16,9.802031766168219e-19,1.1418494787516588e-25
755,2.4964537942874933e-14,-1.4661866523596893e-15,2.933793345548816e-16,9.790124744398769e-19,1.1364950024244628e-25
756,2.4984876258183904e-14,-1.4593486496420096e-15,2.8962562538598736e-16,9.77831225808e-19,1.1311758077764847e-25
757,2.5006553235773098e-14,-1.4520707702599445e-15,2.8589179713716897e-16,9.766582733399172e-19,1.125880721505535e-25
758,2.5025626462565098e-14,-1.4444439321160657e-15,2.8216135004980383e-16,9.754935637724797e-19,1.1206205296680768e-25
759,2.5045383995926618e-14,-1.4365363203870612e-15,2.784430102063514e-16,9.743370442306193e-19,1.1153950118585686e-25
760,2.5063212931522912e-14,-1.4282741813407001e-15,2.747443255066758e-16,9.731886622240885e-19,1.1101930854680411e-25
761,2.5080103426161483e-14,-1.4196712236327234e-15,2.7106626318753075e-16,9.720472821159823e-19,1.105036289370441e-25
762,2.50975756387699e-14,-1.4107194057404222e-15,2.6740653787436383e-16,9.70911780008511e-19,1.0998919017155253e-25
763,2.5112499035792094e-14,-1.4014323345424334e-15,2.63773666289205e-16,9.697842772054551e-19,1.0947922139040878e-25
764,2.5127258519026215e-14,-1.3918772338417605e-15,2.6015242480927853e-16,9.686636475829913e-19,1.0897154273384982e-25
765,2.5140246868260018e-14,-1.3819061853864609e-15,2.565502651739685e-16,9.675477043803503e-19,1.084672137193957e-25
766,2.5153081945243435e-14,-1.3716936507139737e-15,2.529831166680535e-16,9.664385612580476e-19,1.0796514389015477e-25
767,2.5164164835158055e-14,-1.3611349526676116e-15,2.4944220923146224e-16,9.653351098039099e-19,1.0746638738653888e-25
768,2.5174360182110347e-14,-1.350179701925303e-15,2.4591886332874184e-16,9.642362529985414e-19,1.0697092345752958e-25
769,2.518356867813214e-14,-1.3390539298277633e-15,2.4241403911232173e-16,9.631430273365132e-19,1.0647767038470192e-25
770,2.519116288198637e-14,-1.3276003196174642e-15,2.3895091204594537e-16,9.620532833748633e-19,1.059876743337014e-25
771,2.5197788620005557e-14,-1.3158320876258132e-15,2.355133590675246e-16,9.609691163167626e-19,1.0550017602810885e-25
772,2.5202821598927587e-14,-1.3036675598810267e-15,2.3210858672261904e-16,9.598883880507968e-19,1.05015687452194e-25
773,2.5206904200995394e-14,-1.2913409637563269e-15,2.287363753708793e-16,9.588110827921024e-19,1.0453408514658442e-25
774,2.5209310512031645e-14,-1.2787803534912272e-15,2.253965069834345e-16,9.577371848499631e-19,1.0405535161205887e-25
775,2.5211725067963897e-14,-1.2659145282679349e-15,2.220898098892086e-16,9.566666786271218e-19,1.035792605202538e-25
776,2.5210917362431244e-14,-1.2528084941837017e-15,2.1882231359777009e-16,9.55598506548534e-19,1.031060046442159e-25
777,2.520930282276817e-14,-1.2394018679450911e-15,2.1558647286775664e-16,9.54532661238354e-19,1.0263535896560704e-25
778,2.5208339083822198e-14,-1.2256867272851967e-15,2.1238933329274117e-16,9.53469135350266e-19,1.0216751541007148e-25
779,2.520347126969973e-14,-1.211831028165108e-15,2.092306291241406e-16,9.52406887502424e-19,1.0170235366375803e-25
780,2.5197926775094415e-14,-1.1976709588042719e-15,2.0609565673692676e-16,9.51346949768201e-19,1.0123985773171315e-25
781,2.519150508395445e-14,-1.1833735952807344e-15,2.0302130112051145e-16,9.502872573006299e-19,1.0078001172992162e-25
782,2.5182776360756585e-14,-1.1689196053880708e-15,1.9997737011371189e-16,9.492288447578155e-19,1.0032279988441238e-25
783,2.5173293624310656e-14,-1.1541056208487251e-15,1.9697799039236262e-16,9.481706891684183e-19,9.986820653037221e-26
784,2.5162245982289366e-14,-1.1390774637299296e-15,1.9402387203846984e-16,9.471127988870568e-19,9.941611401869502e-26
785,2.5148932643182317e-14,-1.1238980126699557e-15,1.9110655208869733e-16,9.460551821783175e-19,9.896671134518106e-26
786,2.5134996171697923e-14,-1.1082943170622147e-15,1.8823187309038817e-16,9.449968314775485e-19,9.85198808139149e-26
787,2.5118719065802663e-14,-1.092624360777237e-15,1.8540967021187756e-16,9.439377626059477e-19,9.807550587181516e-26
788,2.5101028793949136e-14,-1.076818056712388e-15,1.8262138144803569e-16,9.428779912384614e-19,9.763377427608872e-26
789,2.5081835442189562e-14,-1.0608765912598773e-15,1.7986980049604475e-16,9.418165248697523e-19,9.719446862117783e-26
790,2.5061954971036922e-14,-1.04466037330527e-15,1.7718986771865578e-16,9.407533865325681e-19,9.675757474687844e-26
791,2.5039988643254356e-14,-1.0282418433108991e-15,1.745449605695191e-16,9.39688599059471e-19,9.632327917905172e-26
792,2.501645263978574e-14,-1.0117627454499286e-15,1.7195584841785701e-16,9.386211846666215e-19,9.589136634855215e-26
793,2.4990860082451927e-14,-9.950051541946172e-16,1.6942313274097822e-16,9.375521712494585e-19,9.546192217811404e-26
794,2.4963226716129796e-14,-9.781972810108192e-16,1.66938449414271e-16,9.364795902468816e-19,9.503493214178083e-26
795,2.4934064609779844e-14,-9.611897379085972e-16,1.6449451019189716e-16,9.354034786859493e-19,9.461028252410782e-26
796,2.4905168244619096e-14,-9.441307654844654e-16,1.6211183013883461e-16,9.343248636846278e-19,9.418795974417394e-26
797,2.4872584246112417e-14,-9.268746997631305e-16,1.5976922554477654e-16,9.332427863047793e-19,9.376814789562887e-26
798,2.4838804178109106e-14,-9.095680410073853e-16,1.574880975697858e-16,9.321562972567648e-19,9.335053646507708e-26
799,2.4803542424060266e-14,-8.921385903876429e-16,1.5526014331722598e-16,9.310664227616928e-19,9.293540778297299e-26
800,2.4767104555646048e-14,-8.745884102625652e-16,1.5307812218657457e-16,9.299712373077313e-19,9.252245300555378e-26
801,2.4728619431896346e-14,-8.569889881694234e-16,1.5095540442352143e-16,9.288717688839693e-19,9.211185536184481e-26
802,2.468732217670023e-14,-8.391232876537136e-16,1.4888473775806734e-16,9.277680596961671e-19,9.170360108675885e-26
803,2.464634841804843e-14,-8.213574414026555e-16,1.468579677659956e-16,9.266591783959008e-19,9.129757918697914e-26
804,2.4602589580708272e-14,-8.033996320095169e-16,1.448980855649862e-16,9.255442029690095e-19,9.089377680837135e-26
805,2.4558294066253764e-14,-7.853957424299732e-16,1.4298814939458855e-16,9.244241574224754e-19,9.049227802179715e-26
806,2.4511341097053648e-14,-7.673462809193921e-16,1.4112877197479917e-16,9.232981237504198e-19,9.009297282634971e-26
807,2.4462425331450868e-14,-7.492527151449034e-16,1.3933308578745486e-16,9.221661567254039e-19,8.969584862744276e-26
808,2.441165787900473e-14,-7.310415244223958e-16,1.375948682468939e-16,9.210283106882855e-19,8.930098903614278e-26
809,2.4360395280369803e-14,-7.128585306185701e-16,1.3591179242037533e-16,9.198836807114692e-19,8.890818914566603e-26
810,2.4306537415663024e-14,-6.945602200869787e-16,1.342844227065318e-16,9.1873232737711e-19,8.851772426704569e-26
811,2.4250867224764098e-14,-6.762248943075012e-16,1.3271236281863863e-16,9.175752649140806e-19,8.812929448937752e-26
812,2.4193969635960944e-14,-6.578958225407872e-16,1.3120854417620324e-16,9.164096906021196e-19,8.774298351958913e-26
813,2.4135284540561712e-14,-6.395664788842969e-16,1.2974589386503918e-16,9.15238525975457e-19,8.735887420503346e-26
814,2.407615155887774e-14,-6.2121430060548615e-16,1.2834969422504381e-16,9.140589814182456e-19,8.697685912063184e-26
815,2.401449599090141e-14,-6.028613509841149e-16,1.2700813244759097e-16,9.128720738969518e-19,8.659692633307267e-26
816,2.3950336894550815e-14,-5.845078008531611e-16,1.25725532192406e-16,9.116778681005674e-19,8.621906398819853e-26
817,2.3885197452138625e-14,-5.661594603842824e-16,1.244948918618277e-16,9.104764282176372e-19,8.584326031039568e-26
818,2.3819554355316363e-14,-5.478248966162013e-16,1.2333084820468382e-16,9.09265942200357e-19,8.546950360198891e-26
819,2.375154070622077e-14,-5.29508850583476e-16,1.2221795560213094e-16,9.0804835813891e-19,8.509778224264176e-26
820,2.36823877087164e-14,-5.112122836637477e-16,1.2116331703583794e-16,9.068218720884216e-19,8.472817801910447e-26
821,2.361089394150857e-14,-4.929622164620529e-16,1.2015813789475335e-16,9.055874908847095e-19,8.4360492576174e-26
822,2.3538284484173954e-14,-4.747454694698023e-16,1.192243574354151e-16,9.04344354194356e-19,8.399480808023542e-26
823,2.3464104835325082e-14,-4.565665941118425e-16,1.1834108131069833e-16,9.030934632079662e-19,8.363111321441046e-26
824,2.338744278571346e-14,-4.3843379416854767e-16,1.175199659638978e-16,9.018330367531335e-19,8.326948916320752e-26
825,2.3310529896620756e-14,-4.2036625767879764e-16,1.1674765919657778e-16,9.005640771402925e-19,8.290973968028518e-26
826,2.323125311686591e-14,-4.0235723180247326e-16,1.1604404975016777e-16,8.992866573495983e-19,8.255194632189274e-26
827,2.315027255614391e-14,-3.8442572004549514e-16,1.1538845982127276e-16,8.979999322254469e-19,8.219609806542791e-26
828,2.306906582512251e-14,-3.665649112424048e-16,1.147933631430497e-16,8.967039802825137e-19,8.184209242381403e-26
829,2.2985534995151687e-14,-3.487872349018393e-16,1.1426015445320287e-16,8.953988794409923e-19,8.149010181210972e-26
830,2.290106399769627e-14,-3.311131983112823e-16,1.1377928245352969e-16,8.940856179945007e-19,8.113993256827153e-26
831,2.281502419645233e-14,-3.135267592012863e-16,1.1335219188966853e-16,8.927615397997648e-19,8.079175636670363e-26
832,2.2727336963489972e-14,-2.9604194508779245e-16,1.1297668636081333e-16,8.914294539117062e-19,8.044528990589677e-26
833,2.2638828869408925e-14,-2.786645076622934e-16,1.1266053819505348e-16,8.900867161234746e-19,8.010079521776029e-26
834,2.2547972741518918e-14,-2.613929237515778e-16,1.1239610610021434e-16,8.887352189546141e-19,7.975817089388116e-26
835,2.2456946414349453e-14,-2.442400843914822e-16,1.1219652301233926e-16,8.873741367202158e-19,7.9417316462366e-26
836,2.2363058061978896e-14,-2.272043885237543e-16,1.1204067367268223e-16,8.860035497191258e-19,7.90782221737191e-26
837,2.2268926770910066e-14,-2.1029858112117472e-16,1.1194257943707207e-16,8.846235376475992e-19,7.874105750096356e-26
838,2.2173303951195984e-14,-1.9352187868334453e-16,1.1190093494411732e-16,8.832332859409704e-19,7.840563280583655e-26
839,2.2075487829634933e-14,-1.7687261142469283e-16,1.1190909706828004e-16,8.818337710237325e-19,7.807202768393617e-26
840,2.1977540521337737e-14,-1.6036957980185775e-16,1.1197916263865638e-16,8.804241813755318e-19,7.774014306109623e-26
841,2.187804410568597e-14,-1.4402519236667918e-16,1.1209205711313727e-16,8.790046006460529e-19,7.741005823416889e-26
842,2.1777098956059524e-14,-1.278110183554012e-16,1.1225367145023538e-16,8.775759970590231e-19,7.708176319864418e-26
843,2.167533438051307e-14,-1.1177837280760094e-16,1.1246984004764322e-16,8.761366805294332e-19,7.675515970449394e-26
844,2.1571435532090278e-14,-9.589438682313993e-17,1.127401741781668e-16,8.746885011638817e-19,7.643023850272731e-26
845,2.1467352040959585e-14,-8.01829263838797e-17,1.1305110397004588e-16,8.732297760457774e-19,7.610707829611773e-26
846,2.1362559974120152e-14,-6.464719892343939e-17,1.1342864513488631e-16,8.717614688570435e-19,7.578566933075108e-26
847,2.1256890257838582e-14,-4.9283292987499087e-17,1.1383995677722365e-16,8.70282784797363e-19,7.546591443695553e-26
848,2.114982633422537e-14,-3.410661822375564e-17,1.143048697146263e-16,8.687946821610288e-19,7.514780460376591e-26
849,2.1040682387837953e-14,-1.911023432255997e-17,1.148151661411726e-16,8.672972397263049e-19,7.483141794445561e-26
850,2.0932166703662735e-14,-4.302290291900254e-18,1.1537747120785927e-16,8.657896670640169e-19,7.451665808606427e-26
851,2.0821502691411738e-14,1.0313477281124167e-17,1.1598534834515733e-16,8.642711813214397e-19,7.420360284884139e-26
852,2.0710089641901108e-14,2.4735271980012763e-17,1.1664452422262253e-16,8.627444653642038e-19,7.3892069930652e-26
853,2.0597933729175303e-14,3.895838478864998e-17,1.1734169550778759e-16,8.612070019402926e-19,7.358230997279491e-26
854,2.0484438724873665e-14,5.2972130370279266e-17,1.1808949779843994e-16,8.5965973952587655e-19,7.327405494041462e-26
855,2.0369614934613603e-14,6.678670219386289e-17,1.1888156099319566e-16,8.581027594096941e-19,7.296746852427764e-26
856,2.0255271231078043e-14,8.038770621589396e-17,1.1970472165955002e-16,8.565387117696137e-19,7.266245591373186e-26
857,2.0138927145724256e-14,9.377019989690908e-17,1.2057670035678984e-16,8.549608227384876e-19,7.23590940547878e-26
858,2.002196159760347e-14,1.0693713329615573e-16,1.215048219851073e-16,8.533709067490301e-19,7.205728864924727e-26
859,1.9904209761983662e-14,1.1989543005819064e-16,1.224504140393975e-16,8.517775657986762e-19,7.1757031302019e-26
860,1.978644176245616e-14,1.326218294073565e-16,1.234447436637448e-16,8.501723511217756e-19,7.145831367079087e-26
861,1.9667388789238025e-14,1.4511784072040225e-16,1.2448153789335856e-16,8.4856382407527885e-19,7.116112746564371e-26
862,1.9547567498479845e-14,1.573925647107288e-16,1.2555289188583575e-16,8.469351282179816e-19,7.086554891075526e-26
863,1.94270684502959e-14,1.6942805623043832e-16,1.2666698395714156e-16,8.453032698691925e-19,7.057148496673228e-26
864,1.930598137958679e-14,1.8123260188977148e-16,1.2780837614447683e-16,8.436598768672011e-19,7.027884342884815e-26
865,1.9182885406790623e-14,1.927900910837558e-16,1.289919683415771e-16,8.420134299570545e-19,6.998786843019106e-26
866,1.9062314342642207e-14,2.0410799709878275e-16,1.3020909097707776e-16,8.40347226588548e-19,6.969829972392778e-26
867,1.8939158748061505e-14,2.151820395052853e-16,1.3146785196376338e-16,8.386781147070738e-19,6.941021340030281e-26
868,1.8816019699430205e-14,2.2601464501966477e-16,1.3275296028857572e-16,8.370061276482041e-19,6.912368482670239e-26
869,1.869215009145532e-14,2.3660074222869077e-16,1.3407336609403684e-16,8.353146769633746e-19,6.883853933109393e-26
870,1.856772176527626e-14,2.4693613929051914e-16,1.3541969520680023e-16,8.336204933263577e-19,6.855493548825666e-26
871,1.8443153176880997e-14,2.570175139814085e-16,1.368008587516395e-16,8.319153362430001e-19,6.827278221647299e-26
872,1.8318033585541734e-14,2.6685230829508686e-16,1.3821413059264845e-16,8.301992944852437e-19,6.799198924437856e-26
873,1.8192285405238874e-14,2.764297834940501e-16,1.3965433855279357e-16,8.284806910065984e-19,6.771271414872411e-26
874,1.806648904788425e-14,2.857475188918231e-16,1.4112703803851516e-16,8.267513408376073e-19,6.743486656424092e-26
875,1.794007202091048e-14,2.9481705524701465e-16,1.4261478102515294e-16,8.250113310386034e-19,6.715843889956162e-26
876,1.7812957767620797e-14,3.036302035869787e-16,1.4414035302321954e-16,8.232689265908992e-19,6.688342361026982e-26
877,1.7687110417880098e-14,3.1217640544666087e-16,1.456863481009935e-16,8.215159974999146e-19,6.660973159938916e-26
878,1.755942859875334e-14,3.2046311341492035e-16,1.472518008562568e-16,8.197607705033672e-19,6.633751879940558e-26
879,1.7432281420043394e-14,3.2849284276234202e-16,1.488495631877708e-16,8.179870291700262e-19,6.606669601927129e-26
880,1.7305179964289584e-14,3.362616064096193e-16,1.5046643588522365e-16,8.162111219903395e-19,6.579717485495025e-26
881,1.717739715948534e-14,3.437581799825529e-16,1.5209742499056332e-16,8.144330773940599e-19,6.552911026370555e-26
882,1.7049664709014523e-14,3.509924208815721e-16,1.5375371692783293e-16,8.126448558711481e-19,6.526233307020487e-26
883,1.6922466221100316e-14,3.5795317288095197e-16,1.5543512742147785e-16,8.108465401630103e-19,6.499691709160709e-26
884,1.6794112488163923e-14,3.646599034594794e-16,1.5712380467528366e-16,8.090382124192076e-19,6.47328551453309e-26
885,1.666573414683157e-14,3.710918427894167e-16,1.5883731552644968e-16,8.0723598048738605e-19,6.447014009281697e-26
886,1.653789199874033e-14,3.7725639500981915e-16,1.605698825463262e-16,8.054158317151484e-19,6.420876483921447e-26
